Age,Gender,Country,City_Tier,Monthly_Income,Occupation,Fitness_Enthusiast,Shoes_Per_Year,Preferred_Shoe_Types,Interested_in_Customization,Preferred_Customization_Level,Interest_AI_Style_Advisor,Interest_AR_TryOn,Interest_Limited_Edition,Interest_Eco_Friendly,Interest_Single_Pair_Manufacturing,Preferred_Materials,Willing_to_Pay_More_for_Sustainable,Max_Price_Willing_to_Pay,Difficulty_in_Finding_Size,Shoe_Size,Likelihood_to_Use_App,Purchased_Custom_Before,Importance_Brand,Importance_Comfort,Importance_Design,Importance_Price,Importance_Uniqueness,Try_on_Recommendation_By_Friend,Frustration_With_Online_Shoe_Buying,Buy_if_AR_Visualization,Participate_in_Design_Contests,App_Try_Timeline
34,Male,India,Tier 2,468.2,Professional,Yes,3,"Sports, Ethnic",Yes,Full Design,5,2,5,1,2,"Recyclable materials, Leather, Vegan",Yes,99.47,No,10.8,5,No,4,5,2,3,2,Maybe,Generic design,Yes,Yes,Never
24,Prefer not to say,UK,Tier 1,733.78,Student,Yes,3,Ethnic,No,Color only,2,3,4,3,1,Canvas,No,151.35,Yes,8.4,3,Yes,1,5,3,2,2,Maybe,Long delivery time,No,Yes,Within a month
26,Female,Other,Tier 3,358.3,Student,Yes,3,"Boots, Sports, Ethnic",Yes,Full Design,2,2,5,4,4,Canvas,No,64.08,No,8.8,1,Yes,3,1,1,2,4,Yes,None of the above,Yes,Yes,Immediately
25,Male,Other,Tier 3,675.6,Self-employed,Yes,3,"Formal, Slippers",Yes,Material,5,1,4,2,1,Vegan,Yes,110.22,No,8.8,4,No,3,1,1,1,5,Yes,Poor product information,Yes,Yes,Immediately
23,Male,Other,Tier 3,2738.87,Student,Yes,4,"Formal, Sports, Boots",Yes,Color only,3,3,1,2,3,Knit,No,142.23,No,9.3,2,Yes,4,1,4,2,2,Yes,Size mismatch,Yes,No,Within a month
30,Male,USA,Tier 1,912.98,Self-employed,Yes,7,Boots,Yes,Sole type,2,5,4,1,4,"Canvas, Knit, Recyclable materials",No,108.5,Yes,8.9,2,No,5,4,3,5,1,Maybe,Long delivery time,Yes,No,Immediately
23,Female,Other,Tier 3,338.83,Professional,No,4,Slippers,Yes,Sole type,5,3,2,2,5,"Recyclable materials, Vegan",Yes,111.73,Yes,10.2,4,Yes,2,2,3,5,4,Yes,Poor product information,No,No,Within 3 months
32,Female,UK,Tier 1,828.34,Student,No,6,Casual,No,Color only,1,4,3,1,5,"Leather, Recyclable materials, Vegan",Yes,114.49,Yes,10.8,3,Yes,2,1,3,3,3,Maybe,Generic design,Yes,Yes,Within a month
29,Male,India,Tier 1,6175.55,Other,Yes,5,Slippers,Yes,Material,5,2,3,1,2,"Vegan, Recyclable materials",No,86.58,Yes,7.8,3,No,1,3,4,4,5,No,Generic design,Yes,Yes,Within 3 months
28,Male,USA,Tier 1,1690.1,Professional,Yes,1,"Sports, Casual, Formal",Yes,Full Design,3,4,4,2,1,Vegan,Yes,166.96,No,8.5,5,Yes,5,4,1,5,3,No,Generic design,No,Yes,Immediately
22,Male,UK,Tier 1,1007.19,Self-employed,Yes,2,Boots,No,Sole type,3,4,4,1,2,"Recyclable materials, Knit, Canvas",No,79.28,Yes,10.4,1,No,4,2,1,1,4,Yes,Long delivery time,Yes,Yes,Within a month
25,Female,India,Tier 2,473.25,Student,No,6,"Slippers, Formal",Yes,Full Design,5,3,4,5,1,Knit,No,132.73,No,6.9,5,Yes,2,1,5,2,3,Yes,None of the above,No,Yes,Immediately
36,Female,USA,Tier 1,6622.11,Self-employed,Yes,3,Ethnic,Yes,Material,2,3,1,2,1,"Leather, Knit, Recyclable materials",No,136.55,Yes,6.0,2,No,5,2,4,1,5,No,None of the above,Yes,Yes,Within 3 months
34,Male,UK,Tier 1,2779.29,Student,Yes,6,Formal,Yes,Color only,4,4,5,1,4,"Leather, Canvas",Yes,82.06,No,9.3,4,Yes,4,2,3,1,1,Yes,Long delivery time,Yes,No,Within 3 months
22,Male,India,Tier 2,695.84,Professional,No,7,Casual,Yes,Material,2,5,3,1,4,"Canvas, Recyclable materials, Knit",Yes,122.92,No,9.7,1,Yes,5,4,2,2,4,Yes,Long delivery time,Yes,No,Immediately
30,Male,USA,Tier 1,308.97,Entrepreneur,Yes,5,Boots,Yes,Material,2,1,2,5,4,Canvas,Yes,83.61,No,7.9,4,Yes,1,4,2,4,1,Maybe,Size mismatch,Yes,Yes,Immediately
36,Prefer not to say,UK,Tier 2,287.44,Self-employed,Yes,7,"Sports, Formal",Yes,Material,4,5,2,1,2,"Vegan, Leather",No,175.64,No,8.1,1,No,5,1,3,3,4,Yes,Long delivery time,Yes,Yes,Within 3 months
16,Male,USA,Tier 1,392.39,Self-employed,Yes,2,"Sports, Formal",Yes,Color only,1,5,3,1,4,"Leather, Vegan, Recyclable materials",No,74.45,No,7.9,2,Yes,1,1,2,5,1,Yes,Size mismatch,No,Yes,Immediately
34,Female,India,Tier 3,1504.0,Self-employed,No,8,"Sneakers, Boots, Sports",No,Sole type,4,4,2,2,2,"Canvas, Leather, Vegan",No,93.84,No,7.7,2,No,4,2,2,4,4,Maybe,Generic design,Yes,Yes,Within a month
24,Female,India,Tier 3,4162.62,Self-employed,No,7,"Sports, Sneakers, Ethnic",Yes,Material,4,1,4,1,2,"Recyclable materials, Knit",Yes,71.03,No,10.0,1,Yes,1,1,2,2,5,Maybe,Size mismatch,Yes,Yes,Within a month
34,Male,India,Tier 1,1229.98,Student,No,4,"Boots, Slippers",No,Full Design,3,2,5,1,3,"Knit, Vegan, Canvas",No,65.69,No,7.2,3,Yes,2,4,4,5,3,Yes,Poor product information,Yes,Yes,Immediately
23,Male,Other,Tier 1,2976.74,Professional,Yes,5,Sneakers,Yes,Color only,2,3,4,1,5,"Vegan, Knit",No,183.65,No,8.6,1,No,3,4,3,3,5,Maybe,Size mismatch,Yes,Yes,Within a month
15,Male,India,Tier 1,1085.58,Professional,Yes,1,"Formal, Boots, Sports",Yes,Material,4,3,2,1,5,Vegan,Yes,141.71,Yes,7.6,2,No,2,2,3,1,5,No,Poor product information,Yes,Yes,Within a month
16,Female,USA,Tier 3,2049.5,Professional,No,3,"Slippers, Ethnic, Boots",Yes,Color only,2,5,1,3,5,"Recyclable materials, Vegan",Yes,502.44,No,6.8,4,No,3,1,1,5,2,Maybe,Poor product information,Yes,Yes,Within a month
30,Female,India,Tier 1,2174.44,Professional,No,3,"Sneakers, Ethnic",Yes,Material,1,5,2,5,2,"Leather, Recyclable materials, Knit",No,93.74,Yes,10.3,5,Yes,4,1,4,4,5,Yes,Size mismatch,No,Yes,Immediately
32,Female,India,Tier 1,486.67,Professional,Yes,2,Sports,Yes,Color only,2,1,4,5,3,"Knit, Recyclable materials, Canvas",No,156.3,No,8.2,4,Yes,2,5,1,2,3,Maybe,Long delivery time,No,No,Within 3 months
22,Female,UAE,Tier 1,872.28,Student,No,5,"Slippers, Sneakers",Yes,Full Design,2,4,2,4,4,"Leather, Vegan, Recyclable materials",No,87.03,No,9.3,2,No,2,5,5,4,3,Yes,Long delivery time,Yes,No,Immediately
35,Male,UK,Tier 1,1721.28,Professional,Yes,5,"Ethnic, Sports",No,Full Design,3,4,3,1,2,"Knit, Recyclable materials",Yes,151.75,No,6.7,4,No,2,3,4,3,3,Yes,Long delivery time,Yes,Yes,Within a month
16,Prefer not to say,India,Tier 1,309.98,Student,Yes,2,"Ethnic, Sneakers",Yes,Material,3,2,5,1,5,"Knit, Recyclable materials",Yes,85.1,No,7.9,3,Yes,2,3,4,1,1,Yes,Long delivery time,Yes,Yes,Immediately
29,Female,USA,Tier 3,873.04,Professional,No,6,Sports,Yes,Color only,5,4,4,5,4,Canvas,No,94.22,No,10.1,3,No,5,1,2,5,1,Yes,Long delivery time,No,Yes,Within 3 months
20,Male,India,Tier 1,1347.93,Professional,Yes,1,"Boots, Formal",No,Sole type,2,4,5,4,4,"Canvas, Leather, Knit",No,150.33,No,12.9,1,Yes,1,5,2,5,2,No,None of the above,No,No,Immediately
24,Prefer not to say,USA,Tier 1,8568.83,Entrepreneur,No,4,Formal,Yes,Full Design,3,3,5,2,1,"Knit, Canvas",No,154.55,No,6.0,4,No,2,4,1,1,3,No,Generic design,No,Yes,Within 3 months
30,Female,UK,Tier 3,1165.2,Entrepreneur,Yes,1,"Boots, Ethnic",Yes,Color only,1,5,2,2,2,"Leather, Vegan, Canvas",No,143.9,No,8.7,4,Yes,5,4,1,3,4,Yes,Generic design,Yes,Yes,Within a month
23,Female,India,Tier 3,2739.69,Professional,Yes,1,"Boots, Ethnic, Casual",Yes,Sole type,3,5,1,2,5,"Vegan, Recyclable materials",Yes,78.01,No,9.6,2,No,2,1,5,4,3,Yes,Long delivery time,Yes,Yes,Within 3 months
26,Female,India,Tier 1,1048.63,Student,No,3,"Boots, Slippers",Yes,Full Design,1,3,4,1,1,"Leather, Canvas",No,102.13,No,8.1,1,Yes,5,2,5,3,2,Yes,Poor product information,Yes,Yes,Within a month
38,Female,India,Tier 1,2587.33,Professional,No,3,"Sneakers, Boots",Yes,Full Design,1,4,2,4,1,"Canvas, Vegan",Yes,126.28,Yes,10.3,1,Yes,3,1,3,5,1,Yes,Size mismatch,Yes,Yes,Within a month
25,Female,Other,Tier 1,1557.34,Student,Yes,1,"Sneakers, Sports, Ethnic",Yes,Full Design,3,1,3,5,3,"Knit, Recyclable materials, Leather",Yes,86.03,No,7.7,4,No,1,4,5,5,2,Yes,Generic design,Yes,Yes,Within 3 months
36,Male,Other,Tier 3,3465.19,Professional,Yes,5,"Ethnic, Boots, Formal",Yes,Full Design,1,4,1,1,5,"Recyclable materials, Canvas, Vegan",Yes,174.84,No,9.2,5,No,3,3,5,3,5,Yes,Size mismatch,No,Yes,Within a month
20,Male,India,Tier 1,993.85,Professional,No,6,"Sneakers, Formal",Yes,Full Design,2,1,5,4,5,Vegan,No,23.92,No,8.2,4,No,1,3,3,5,5,Yes,Poor product information,Yes,No,Within 3 months
34,Other,UK,Tier 3,1590.67,Student,Yes,0,"Casual, Sneakers",Yes,Material,5,3,2,2,4,Knit,No,88.85,No,10.8,4,Yes,2,3,4,5,4,Yes,Size mismatch,No,Yes,Immediately
41,Male,India,Tier 2,1691.45,Professional,No,2,"Sneakers, Ethnic",No,Sole type,5,4,4,2,2,"Recyclable materials, Canvas, Knit",Yes,99.62,No,8.0,4,No,1,1,4,1,4,Maybe,Long delivery time,No,Yes,Within a month
13,Male,India,Tier 2,1010.34,Other,No,5,Casual,No,Full Design,2,1,5,4,5,"Leather, Canvas",Yes,20.0,No,8.5,3,No,2,2,1,4,4,Yes,None of the above,No,No,Within 3 months
23,Male,UK,Tier 1,433.77,Other,Yes,3,"Casual, Ethnic",Yes,Sole type,4,4,4,4,3,"Canvas, Knit",No,64.15,No,10.4,1,No,4,1,4,5,4,Yes,Size mismatch,Yes,Yes,Within 3 months
34,Male,Other,Tier 1,347.34,Professional,Yes,5,"Casual, Formal",Yes,Full Design,3,1,2,4,5,"Knit, Recyclable materials",Yes,145.01,Yes,7.5,3,Yes,5,2,5,2,1,Yes,Size mismatch,Yes,Yes,Within 3 months
28,Female,Other,Tier 1,225.22,Student,Yes,2,"Sneakers, Sports, Ethnic",No,Color only,3,2,1,2,4,"Recyclable materials, Knit",No,121.21,Yes,9.1,5,Yes,2,2,4,3,2,Yes,Size mismatch,Yes,Yes,Within a month
32,Other,USA,Tier 1,3301.68,Student,No,6,Sports,Yes,Material,2,4,3,3,4,"Leather, Vegan",Yes,182.93,Yes,6.3,2,No,5,1,5,1,5,No,Generic design,Yes,No,Never
25,Male,India,Tier 2,604.71,Professional,Yes,4,"Sports, Ethnic",Yes,Material,5,3,5,4,4,Recyclable materials,Yes,181.81,Yes,7.4,5,No,2,3,2,4,5,Maybe,Poor product information,Yes,Yes,Immediately
30,Male,UK,Tier 3,556.45,Self-employed,Yes,2,"Casual, Formal, Boots",Yes,Material,3,5,4,3,4,"Recyclable materials, Leather, Canvas",Yes,137.32,Yes,9.6,1,No,3,5,4,4,4,Maybe,Poor product information,Yes,Yes,Immediately
28,Male,India,Tier 2,2197.91,Student,Yes,4,Boots,No,Material,2,2,3,4,3,Recyclable materials,Yes,132.53,Yes,7.5,2,Yes,2,2,3,4,2,No,Size mismatch,Yes,Yes,Immediately
39,Female,USA,Tier 2,778.53,Entrepreneur,Yes,6,"Boots, Casual, Sports",Yes,Full Design,1,3,3,2,2,Vegan,Yes,122.64,Yes,8.2,5,No,1,1,2,3,5,Yes,Poor product information,No,No,Never
32,Female,India,Tier 1,1257.97,Student,Yes,5,"Casual, Ethnic",No,Color only,4,3,3,4,5,"Knit, Vegan, Leather",Yes,20.0,No,9.7,1,No,4,2,3,5,3,Yes,Poor product information,No,Yes,Immediately
32,Male,UK,Tier 1,466.02,Other,Yes,5,"Slippers, Ethnic",Yes,Full Design,4,2,2,3,2,Canvas,Yes,64.22,Yes,8.1,5,No,5,1,5,1,4,No,Generic design,Yes,Yes,Within 3 months
26,Female,India,Tier 1,5018.81,Professional,No,6,Casual,Yes,Sole type,4,3,4,4,3,Knit,Yes,124.03,No,10.2,2,No,2,1,3,5,3,Maybe,Size mismatch,No,Yes,Immediately
26,Female,India,Tier 2,3061.58,Entrepreneur,No,4,"Casual, Slippers, Sports",Yes,Material,5,2,1,1,1,"Recyclable materials, Vegan",No,144.64,No,9.3,2,Yes,1,3,5,2,3,Maybe,Generic design,Yes,Yes,Immediately
26,Female,Other,Tier 3,3190.33,Professional,No,8,"Boots, Formal, Ethnic",Yes,Material,2,5,4,3,5,Knit,Yes,131.59,No,9.7,5,Yes,4,5,5,4,1,Yes,Poor product information,Yes,Yes,Within a month
33,Other,India,Tier 2,983.27,Professional,Yes,0,"Sneakers, Formal, Sports",No,Sole type,1,2,2,3,4,"Canvas, Leather, Recyclable materials",Yes,84.3,No,10.9,3,Yes,4,1,2,1,2,Yes,Poor product information,Yes,No,Within a month
26,Male,USA,Tier 1,2355.51,Student,Yes,2,"Slippers, Boots",No,Full Design,5,5,5,4,4,"Canvas, Knit",No,157.5,No,9.5,5,No,2,4,2,1,3,Yes,Poor product information,Yes,Yes,Immediately
32,Female,India,Tier 1,433.01,Student,No,1,"Sports, Casual",Yes,Full Design,4,3,2,1,4,"Leather, Recyclable materials, Canvas",No,179.3,No,11.3,5,No,5,5,1,3,2,Yes,Generic design,Yes,Yes,Within a month
46,Female,India,Tier 2,212.98,Self-employed,Yes,1,"Formal, Sneakers, Boots",No,Full Design,2,4,1,4,2,"Canvas, Recyclable materials",Yes,157.52,Yes,10.4,5,Yes,1,2,4,3,5,Maybe,Generic design,Yes,Yes,Immediately
36,Female,India,Tier 1,230.26,Self-employed,No,6,"Boots, Ethnic, Slippers",No,Full Design,3,1,2,5,5,"Canvas, Vegan, Leather",No,159.58,No,8.2,3,No,1,5,2,2,4,Yes,Long delivery time,Yes,Yes,Within a month
27,Female,India,Tier 3,1525.02,Self-employed,No,8,Boots,Yes,Sole type,5,3,4,4,4,Recyclable materials,No,97.63,No,10.9,4,No,2,2,5,5,1,Yes,Size mismatch,No,Yes,Immediately
39,Female,UAE,Tier 3,1111.54,Professional,Yes,3,"Slippers, Ethnic, Casual",Yes,Full Design,3,5,4,3,3,"Vegan, Recyclable materials",No,163.04,No,9.4,2,Yes,1,2,3,1,2,Maybe,Size mismatch,No,Yes,Within a month
26,Female,India,Tier 2,1294.76,Self-employed,No,3,Formal,Yes,Full Design,2,4,5,1,3,"Vegan, Recyclable materials",Yes,125.83,No,8.4,1,No,5,4,5,5,4,Yes,Size mismatch,No,Yes,Immediately
13,Male,Other,Tier 1,211.24,Student,No,8,"Ethnic, Casual",Yes,Full Design,2,1,3,2,4,Leather,No,140.46,No,9.4,2,No,5,1,5,4,2,Yes,Poor product information,Yes,Yes,Within a month
21,Female,USA,Tier 1,1024.06,Professional,Yes,4,"Casual, Sports",Yes,Color only,2,3,4,5,2,"Canvas, Knit, Leather",Yes,134.62,Yes,10.7,2,Yes,2,2,4,4,1,Yes,Size mismatch,Yes,Yes,Immediately
15,Prefer not to say,USA,Tier 1,2099.13,Professional,Yes,3,Slippers,Yes,Full Design,1,4,4,5,2,"Recyclable materials, Canvas",Yes,115.14,Yes,9.7,4,Yes,4,2,4,3,5,Yes,Size mismatch,Yes,Yes,Within a month
27,Other,USA,Tier 1,1076.96,Professional,Yes,9,Boots,Yes,Material,1,5,2,1,1,Leather,No,85.6,No,11.7,2,Yes,1,2,2,3,1,Yes,Poor product information,Yes,No,Immediately
30,Male,USA,Tier 1,2176.38,Professional,Yes,2,"Sneakers, Sports, Formal",No,Full Design,3,1,2,5,5,"Canvas, Recyclable materials, Knit",Yes,116.71,No,10.6,2,No,5,1,1,2,4,No,Generic design,No,Yes,Within 3 months
43,Male,UK,Tier 2,597.94,Student,Yes,5,"Ethnic, Sports, Slippers",No,Color only,3,2,1,3,4,"Knit, Canvas",No,159.47,Yes,9.8,3,Yes,5,1,3,2,4,Maybe,Long delivery time,Yes,Yes,Within a month
32,Male,India,Tier 2,2716.11,Professional,Yes,5,"Boots, Formal, Sneakers",Yes,Material,2,3,5,3,4,Vegan,Yes,102.34,No,7.5,3,No,4,2,1,2,4,No,Poor product information,No,Yes,Never
28,Female,India,Tier 1,1531.67,Self-employed,No,4,"Sneakers, Casual",Yes,Material,2,3,1,2,3,"Recyclable materials, Knit, Leather",Yes,155.73,Yes,8.7,3,No,4,3,3,4,3,No,Poor product information,Yes,No,Never
36,Female,UAE,Tier 1,555.03,Professional,Yes,3,Casual,Yes,Material,3,2,5,1,2,Leather,No,149.48,No,9.1,3,No,3,3,4,1,1,Maybe,Long delivery time,Yes,Yes,Within 3 months
13,Male,Other,Tier 1,605.2,Student,Yes,6,"Ethnic, Casual",Yes,Color only,1,1,2,3,5,"Knit, Vegan",Yes,108.04,No,10.0,3,No,5,3,1,5,2,Yes,Poor product information,Yes,No,Within 3 months
31,Female,UAE,Tier 1,1683.41,Student,No,3,"Boots, Sports, Ethnic",Yes,Full Design,1,1,3,2,5,"Recyclable materials, Knit, Canvas",No,175.55,No,10.0,1,No,3,1,1,1,5,Maybe,Long delivery time,Yes,Yes,Within a month
36,Female,USA,Tier 3,2857.4,Professional,Yes,2,Formal,Yes,Color only,1,1,2,3,4,"Canvas, Knit, Recyclable materials",No,105.78,Yes,9.3,4,Yes,2,3,1,4,3,Yes,None of the above,Yes,Yes,Within a month
18,Female,UK,Tier 1,1005.83,Professional,No,1,"Sports, Ethnic, Slippers",Yes,Material,3,1,1,5,3,"Canvas, Recyclable materials",No,180.38,No,9.2,5,Yes,4,5,1,3,3,Yes,Long delivery time,Yes,Yes,Within a month
39,Female,USA,Tier 1,648.22,Professional,Yes,2,"Sneakers, Ethnic",Yes,Color only,4,5,4,5,3,"Leather, Canvas",Yes,137.37,No,10.1,3,Yes,1,2,5,1,3,Yes,Poor product information,Yes,No,Immediately
32,Female,USA,Tier 1,3226.24,Professional,Yes,1,"Sneakers, Boots",Yes,Sole type,1,4,3,4,3,Canvas,Yes,119.37,Yes,7.7,4,No,2,3,4,3,5,Yes,Generic design,Yes,Yes,Immediately
26,Female,India,Tier 3,1859.67,Professional,Yes,3,"Sneakers, Casual",Yes,Material,5,3,5,1,5,Leather,No,84.49,Yes,11.5,5,No,1,3,4,4,1,Maybe,Generic design,Yes,Yes,Within a month
35,Male,USA,Tier 2,1091.54,Professional,No,8,Slippers,No,Material,2,1,3,3,2,"Recyclable materials, Canvas, Leather",No,116.47,No,5.9,2,No,4,1,5,1,2,Yes,Poor product information,Yes,Yes,Within 3 months
48,Female,India,Tier 1,1203.85,Self-employed,Yes,1,"Sports, Casual, Sneakers",No,Material,3,1,1,5,4,"Leather, Vegan",Yes,111.85,No,11.2,2,No,4,4,3,2,3,Yes,Long delivery time,Yes,No,Within a month
31,Female,India,Tier 2,542.72,Professional,No,4,Casual,Yes,Sole type,3,2,1,1,1,"Knit, Leather, Recyclable materials",No,69.67,Yes,8.9,4,Yes,1,5,4,5,1,No,Poor product information,Yes,Yes,Immediately
31,Female,UAE,Tier 2,1678.47,Professional,Yes,8,"Ethnic, Boots, Sneakers",Yes,Color only,4,4,3,2,4,Leather,No,111.3,No,10.5,1,No,1,2,3,4,4,Yes,Long delivery time,No,Yes,Within a month
26,Female,India,Tier 3,866.49,Self-employed,Yes,3,"Ethnic, Casual, Sports",Yes,Color only,5,4,1,2,3,"Leather, Recyclable materials, Knit",No,87.85,No,9.5,1,Yes,5,2,1,2,4,Maybe,Size mismatch,Yes,No,Never
23,Female,India,Tier 1,8354.71,Student,Yes,3,Sneakers,Yes,Material,4,1,5,5,3,Vegan,Yes,143.44,Yes,9.5,4,Yes,3,5,1,1,1,Maybe,Size mismatch,Yes,Yes,Immediately
36,Male,India,Tier 3,1181.42,Student,No,7,"Sports, Slippers, Formal",Yes,Full Design,3,4,3,1,1,"Vegan, Leather",Yes,172.25,No,9.8,1,No,3,4,4,2,2,Yes,Generic design,Yes,No,Within a month
23,Female,Other,Tier 3,1197.96,Self-employed,No,4,"Formal, Slippers",Yes,Material,1,4,4,3,4,"Knit, Vegan, Recyclable materials",Yes,70.92,Yes,10.2,1,No,4,1,3,4,3,Yes,Poor product information,Yes,Yes,Never
30,Male,USA,Tier 3,1451.55,Professional,Yes,2,"Casual, Slippers",No,Sole type,1,2,1,2,3,Canvas,Yes,188.49,Yes,8.5,2,Yes,5,1,5,4,2,Yes,Size mismatch,Yes,No,Immediately
26,Male,USA,Tier 2,3928.97,Professional,Yes,1,Sports,Yes,Material,5,4,4,1,1,"Leather, Knit, Canvas",No,114.86,Yes,10.6,1,No,4,5,3,4,2,Yes,Poor product information,Yes,No,Within 3 months
33,Female,UAE,Tier 2,2620.31,Student,Yes,7,"Ethnic, Sneakers",No,Material,2,4,3,1,4,"Leather, Knit, Vegan",Yes,81.0,No,7.4,1,No,5,4,5,5,1,Yes,Size mismatch,Yes,No,Within 3 months
32,Prefer not to say,UAE,Tier 1,1099.84,Professional,Yes,5,Formal,Yes,Color only,5,2,1,1,3,"Canvas, Vegan, Leather",No,150.31,No,9.0,4,Yes,3,1,5,2,2,Yes,Generic design,Yes,Yes,Immediately
38,Male,India,Tier 2,2102.5,Professional,Yes,2,"Boots, Ethnic",Yes,Color only,1,4,4,4,5,"Recyclable materials, Leather, Canvas",Yes,102.14,Yes,10.3,1,Yes,1,2,5,4,5,Maybe,Poor product information,Yes,No,Immediately
25,Male,UK,Tier 2,1523.69,Student,No,6,Boots,Yes,Material,5,1,5,5,3,Leather,Yes,116.73,No,10.5,3,No,4,2,3,3,5,Yes,Size mismatch,Yes,Yes,Immediately
27,Female,UK,Tier 2,1216.99,Professional,No,3,"Slippers, Ethnic, Casual",Yes,Material,5,2,2,2,1,"Canvas, Recyclable materials",Yes,103.83,No,9.7,3,No,5,2,3,3,5,Yes,Poor product information,Yes,Yes,Immediately
22,Male,UK,Tier 1,520.38,Professional,Yes,3,Sneakers,Yes,Color only,4,3,1,4,3,"Recyclable materials, Canvas",Yes,87.33,Yes,8.4,4,Yes,3,5,1,3,4,Yes,Size mismatch,No,Yes,Never
26,Female,India,Tier 2,1135.25,Professional,Yes,1,"Sports, Sneakers, Slippers",Yes,Sole type,3,3,2,2,2,"Vegan, Knit",Yes,148.96,No,10.3,3,Yes,2,5,3,3,5,Maybe,Generic design,Yes,Yes,Immediately
33,Female,UAE,Tier 3,623.18,Student,No,5,"Sports, Casual",Yes,Full Design,3,3,2,3,2,Leather,Yes,108.55,No,8.0,2,No,4,3,1,2,5,Yes,Size mismatch,Yes,No,Never
36,Female,USA,Tier 1,3894.87,Student,No,3,"Sneakers, Boots, Slippers",Yes,Material,2,2,4,3,1,"Vegan, Canvas, Knit",No,62.53,No,11.6,4,No,3,2,5,5,5,Yes,Long delivery time,Yes,Yes,Immediately
22,Male,India,Tier 3,812.87,Professional,Yes,4,"Ethnic, Sneakers, Casual",Yes,Sole type,2,1,4,3,2,"Knit, Canvas",Yes,142.04,No,8.9,1,No,4,1,5,4,5,Yes,Size mismatch,Yes,No,Never
36,Male,USA,Tier 2,4763.1,Student,Yes,4,Sneakers,No,Full Design,2,2,1,4,3,Leather,Yes,71.78,No,6.7,3,Yes,5,4,1,2,3,Yes,Poor product information,Yes,Yes,Immediately
40,Female,India,Tier 3,1342.32,Self-employed,Yes,7,Casual,Yes,Full Design,4,2,4,1,5,"Leather, Recyclable materials, Knit",No,73.87,No,7.2,2,No,5,1,3,5,3,Yes,Generic design,Yes,No,Within a month
33,Female,India,Tier 1,1697.65,Student,Yes,4,Slippers,Yes,Material,5,3,3,4,3,"Vegan, Canvas, Leather",Yes,167.7,Yes,9.1,4,No,4,1,1,2,2,Maybe,Size mismatch,Yes,No,Immediately
45,Male,UK,Tier 1,1374.41,Professional,Yes,3,"Sneakers, Ethnic, Casual",Yes,Full Design,1,2,2,4,2,"Leather, Recyclable materials, Canvas",Yes,72.15,No,9.2,4,No,3,4,3,5,1,Maybe,Size mismatch,Yes,No,Immediately
23,Female,India,Tier 3,407.83,Student,Yes,2,Sneakers,No,Color only,4,3,3,1,2,"Canvas, Vegan, Recyclable materials",Yes,27.34,No,12.0,1,No,3,3,1,1,2,No,Poor product information,Yes,Yes,Immediately
20,Male,USA,Tier 1,906.98,Professional,No,2,Formal,Yes,Sole type,1,5,1,4,4,"Vegan, Leather",Yes,144.91,Yes,7.4,5,No,2,1,3,5,3,Maybe,Size mismatch,Yes,Yes,Immediately
15,Female,USA,Tier 3,356.62,Self-employed,Yes,2,"Boots, Sneakers",Yes,Material,1,3,5,1,3,Canvas,No,107.85,No,9.1,3,No,5,1,5,2,1,No,Generic design,Yes,Yes,Immediately
41,Male,India,Tier 1,1663.08,Student,Yes,4,"Sports, Sneakers, Casual",Yes,Color only,1,2,4,2,2,Knit,Yes,111.29,No,7.4,2,No,4,5,5,4,4,Maybe,Generic design,No,Yes,Within a month
35,Prefer not to say,Other,Tier 2,1088.25,Other,Yes,4,"Casual, Formal, Slippers",Yes,Material,5,3,4,2,4,"Knit, Vegan",No,107.42,No,8.3,4,No,1,3,4,5,4,Yes,Size mismatch,No,Yes,Immediately
29,Male,India,Tier 1,2457.52,Professional,No,4,Sports,Yes,Color only,3,1,2,3,4,"Leather, Recyclable materials, Vegan",No,129.27,Yes,11.5,3,No,1,1,5,5,5,No,Generic design,Yes,Yes,Within 3 months
32,Male,India,Tier 2,573.6,Entrepreneur,No,4,"Ethnic, Sports, Boots",No,Sole type,3,1,3,4,2,Canvas,Yes,89.89,No,7.3,2,No,3,5,1,1,4,Yes,None of the above,Yes,Yes,Within a month
20,Male,India,Tier 1,469.71,Professional,Yes,5,"Formal, Casual, Ethnic",No,Material,2,5,4,5,5,"Canvas, Knit, Recyclable materials",No,179.04,No,9.9,2,No,5,3,2,4,3,Yes,Long delivery time,Yes,Yes,Within 3 months
49,Male,India,Tier 1,982.15,Self-employed,Yes,3,"Slippers, Ethnic, Formal",Yes,Sole type,1,4,2,4,1,"Recyclable materials, Knit",Yes,60.95,Yes,9.6,4,Yes,5,3,2,3,2,Yes,Size mismatch,Yes,Yes,Within 3 months
31,Female,India,Tier 1,4117.45,Professional,No,3,Sports,Yes,Color only,4,4,5,4,5,"Leather, Knit, Canvas",Yes,137.79,Yes,9.0,3,Yes,2,2,3,5,1,No,Size mismatch,Yes,Yes,Within 3 months
30,Prefer not to say,UK,Tier 1,2058.99,Professional,Yes,1,Casual,Yes,Color only,5,3,1,5,4,Leather,Yes,145.68,No,9.8,2,Yes,1,3,5,1,2,Yes,Poor product information,Yes,Yes,Within a month
